Timestamp,Server,Host,Ping,App_Port,Admin_Port,HTTP,Status
2025-08-21 16:35:43,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 77.0}","{'success': True, 'port': 8080, 'response_time': 8.7, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 6.0, 'status': 'OPEN'}",200 (0.26s),ONLINE
2025-08-21 16:35:43,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 175.5}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 20.7, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:36:15,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 37.9}","{'success': True, 'port': 8080, 'response_time': 14.3, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 3.0, 'status': 'OPEN'}",200 (0.06s),ONLINE
2025-08-21 16:36:16,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 23.9}","{'success': True, 'port': 80, 'response_time': 5.0, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 14.4, 'status': 'OPEN'}",200 (0.08s),ONLINE
2025-08-21 16:36:16,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 20.4}","{'success': True, 'port': 8080, 'response_time': 4.3, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 2.7, 'status': 'OPEN'}",200 (0.08s),ONLINE
2025-08-21 16:36:16,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 29.6}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 30.7, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:36:48,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 41.6}","{'success': True, 'port': 8080, 'response_time': 22.1, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 15.5, 'status': 'OPEN'}",200 (0.09s),ONLINE
2025-08-21 16:36:48,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 29.8}","{'success': True, 'port': 80, 'response_time': 20.1, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 2.6, 'status': 'OPEN'}",200 (0.10s),ONLINE
2025-08-21 16:36:48,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 30.5}","{'success': True, 'port': 8080, 'response_time': 3.4, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 27.9, 'status': 'OPEN'}",200 (0.07s),ONLINE
2025-08-21 16:36:48,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 19.4}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 15.8, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:37:21,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 40.7}","{'success': True, 'port': 8080, 'response_time': 25.3, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 3.7, 'status': 'OPEN'}",200 (0.09s),ONLINE
2025-08-21 16:37:21,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 22.2}","{'success': True, 'port': 80, 'response_time': 20.5, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 3.2, 'status': 'OPEN'}",200 (0.08s),ONLINE
2025-08-21 16:37:21,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 33.6}","{'success': True, 'port': 8080, 'response_time': 112.3, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 12.6, 'status': 'OPEN'}",200 (0.07s),ONLINE
2025-08-21 16:37:21,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 20.4}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 13.2, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:37:53,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 40.2}","{'success': True, 'port': 8080, 'response_time': 2.6, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 22.5, 'status': 'OPEN'}",200 (0.05s),ONLINE
2025-08-21 16:37:53,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 22.1}","{'success': True, 'port': 80, 'response_time': 2.0, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 20.0, 'status': 'OPEN'}",200 (0.08s),ONLINE
